縣市,鄉鎮,村里,開票所數,蔡蘇得票,馬吳得票,宋林得票,無效票,選舉人數,藍綠比例
臺南市,佳里區,六安里,3,1467,1052,51,57,10725,-0.16474791583962
臺南市,楠西區,東勢里,2,668,847,50,60,6765,0.11815181518152
臺南市,楠西區,鹿田里,1,315,375,11,3,2979,0.08695652173913
臺南市,楠西區,照興里,1,303,334,11,21,3045,0.048665620094192
臺南市,楠西區,灣丘里,1,373,381,22,21,3666,0.010610079575597
臺南市,楠西區,龜丹里,1,276,211,12,9,2082,-0.13347022587269
臺南市,楠西區,密枝里,1,216,265,8,9,2205,0.1018711018711
臺南市,楠西區,楠西里,2,531,673,33,42,5481,0.11794019933555
臺南市,龍崎區,中坑里,1,73,45,5,6,552,-0.23728813559322
臺南市,龍崎區,土崎里,1,317,161,8,18,2022,-0.32635983263598
臺南市,龍崎區,龍船里,1,159,168,8,9,1266,0.027522935779817
臺南市,龍崎區,大坪里,1,142,95,8,18,948,-0.19831223628692
臺南市,龍崎區,牛埔里,1,154,80,8,3,936,-0.31623931623932
臺南市,龍崎區,楠坑里,1,145,112,11,6,1029,-0.1284046692607
臺南市,龍崎區,石里,1,160,122,11,21,1245,-0.13475177304965
臺南市,龍崎區,崎頂里,1,552,296,24,30,3480,-0.30188679245283
臺北市,中山區,成功里,3,1442,2194,110,54,14661,0.20682068206821
臺北市,中山區,永安里,5,2275,3291,134,96,22131,0.18253683075817
臺北市,中山區,行仁里,4,2536,2586,127,84,20583,0.0097618117922686
臺北市,中山區,新庄里,3,1552,1623,78,39,12672,0.022362204724409
